EpochTime:1573731984617;AccX:-0.151;AccY:0.001;AccZ:9.124
EpochTime:1573731984627;AccX:-0.164;AccY:-0.012;AccZ:9.754
EpochTime:1573731984632;GravX:-0.165;GravY:-0.012;GravZ:9.805
EpochTime:1573731984637;AccX:-0.148;AccY:-0.020;AccZ:9.803
EpochTime:1573731984641;GravX:-0.148;GravY:-0.020;GravZ:9.806
EpochTime:1573731984645;AccX:-0.153;AccY:-0.014;AccZ:9.819
EpochTime:1573731984649;GravX:-0.148;GravY:-0.021;GravZ:9.806
EpochTime:1573731984654;AccX:-0.158;AccY:-0.012;AccZ:9.815
EpochTime:1573731984657;GravX:-0.158;GravY:-0.012;GravZ:9.805
EpochTime:1573731984661;AccX:-0.165;AccY:-0.007;AccZ:9.819
EpochTime:1573731984665;GravX:-0.158;GravY:-0.012;GravZ:9.805
EpochTime:1573731984669;AccX:-0.156;AccY:-0.019;AccZ:9.815
EpochTime:1573731984673;GravX:-0.157;GravY:-0.012;GravZ:9.805
EpochTime:1573731984678;AccX:-0.146;AccY:-0.011;AccZ:9.822
EpochTime:1573731984682;GravX:-0.146;GravY:-0.011;GravZ:9.806
EpochTime:1573731984777;AccX:-0.156;AccY:-0.002;AccZ:9.817
EpochTime:1573731984780;GravX:-0.155;GravY:-0.002;GravZ:9.805